protein_IDs	previous_values	modified_values	flex_Mass
prot_P00127	5.5114464779584e-06	1.31264471252815e-05	0.000131410695470738
prot_P00128	5.5114464779584e-06	1.31264471252815e-05	0.00011090989532804
prot_P00163	5.5114464779584e-06	1.31264471252815e-05	0.000332436584609206
prot_P00401	2.45244014935604e-06	0.000101366532386738	0.0058159062840321
prot_P00410	2.45244014935604e-06	0.000101366532386738	0.00282566898153608
prot_P00420	2.45244014935604e-06	0.000101366532386738	0.00300297348101251
prot_P00931	3.55803716131112e-06	3.73483797934004e-05	0.00258919041063866
prot_P00958	1.9456364107925e-06	3.62659179380722e-06	0.000144019247969659
prot_P07143	5.5114464779584e-06	1.31264471252815e-05	0.000259322983494089
prot_P07255	2.45244014935604e-06	0.000101366532386738	0.000688751683080884
prot_P07256	5.5114464779584e-06	1.31264471252815e-05	0.000382480465113251
prot_P07257	5.5114464779584e-06	1.31264471252815e-05	0.00030823725480211
prot_P07283	7.43237526832803e-06	2.61613914945165e-05	0.000544311284912953
prot_P08067	5.5114464779584e-06	1.31264471252815e-05	0.000177922890974568
prot_P08525	5.5114464779584e-06	1.31264471252815e-05	8.35698346539629e-05
prot_P16451	6.14135631372815e-07	2.1449799377547e-06	6.94410112928652e-05
prot_P18408	1.70148651875347e-07	4.80129747410039e-07	9.41719468423439e-06
prot_P19516	2.45244014935604e-06	9.89140922373823e-05	0.00328392504982043
prot_P20051	4.91159829498262e-07	1.2015122283e-06	2.86363297000347e-05
prot_P21147	9.67844521311834e-08	8.22819356838668e-06	0.000474893157258471
prot_P21524	4.25640331844671e-07	8.24708849999998e-07	3.97313454719332e-05
prot_P22289	5.5114464779584e-06	1.31264471252815e-05	5.69314201395297e-05
prot_P24521	3.29069609674831e-07	1.97402534361812e-06	8.29952052339963e-05
prot_P25087	5.3852604724927e-06	5.3852604724927e-06	0
prot_P25340	3.32641704416136e-07	1.61961059375172e-06	7.2120308022899e-05
prot_P28777	3.00956145841996e-06	8.90931183837885e-06	0.000240933593034235
prot_P32353	9.48466236417447e-07	9.48466236417447e-07	0
prot_P32462	7.83516192900167e-08	1.7275738947251e-05	0.000870443351970519
prot_P32476	5.60664595601592e-06	1.47186074247558e-05	0.00050230024739003
prot_P32895	1.1041766881628e-06	1.27657351311486e-05	0.000548643089300921
prot_P33330	5.50729830201206e-06	4.6316050988888e-05	0.00177171240598824
prot_P36148	8.42205043861782e-07	2.2593788801048e-05	0.00181939099439695
prot_P37291	9.16889334631565e-06	1.61467830776575e-05	0.000364370957538929
prot_P37292	3.40244868811961e-06	8.53779002959866e-06	0.000275695370371096
prot_P37299	5.5114464779584e-06	1.31264471252815e-05	6.54345583123501e-05
prot_P38075	2.6190350966899e-06	2.6190350966899e-06	0
prot_P38088	3.63718937487442e-06	1.16667056598064e-05	0.000627774562330698
prot_P38604	8.73539807675422e-08	0.000577589565781867	0.0481979938706148
prot_P38631	3.0412625365497e-07	3.0412625365497e-07	0
prot_P38689	9.2541681914409e-07	1.27657351311486e-05	0.000415873657038058
prot_P38824	2.45244014935604e-06	9.89140922373823e-05	0.00167048237696656
prot_P38972	1.88920117805467e-06	5.33668713759802e-05	0.00766520938253042
prot_P39708	2.53323381569499e-06	2.53323381569499e-06	0
prot_P39714	5.63653108668946e-07	5.63653108668946e-07	0
prot_P40989	2.1634389823408e-07	1.70426731078942e-06	0.000322861079066534
prot_P46655	5.4570818129565e-06	6.36760243116426e-06	7.36081894494714e-05
prot_P47081	2.45244014935604e-06	9.89140922373823e-05	0.00135787717181185
prot_P48445	4.3990720650921e-08	2.88416232261346e-05	0.00219904567731272
prot_P49367	5.03284950921993e-06	6.7147134543082e-06	0.00012639189046835
prot_P52489	5.21315036807083e-07	5.21315036807083e-07	0
prot_P53239	2.45244014935604e-06	9.89140922373823e-05	0.00343885210923901
prot_P53315	1.1111771954687e-06	9.50271645895419e-06	0.000238717222297899
prot_P54781	3.02734100934645e-07	3.02734100934645e-07	0
prot_P54839	4.1621547211477e-06	1.61727086438923e-05	0.000660734561157779
prot_Q04935	2.45244014935604e-06	9.89140922373823e-05	0.00229171470874387
prot_Q06494	1.6628531553891e-06	1.6628531553891e-06	0
prot_Q07500	6.01623336774466e-07	6.01623336774466e-07	0
prot_Q12122	7.70232575990194e-06	1.36037761869503e-05	0.000286773429645868
prot_Q12189	3.46656603563457e-06	5.35999552213074e-06	5.35040949406267e-05
prot_Q12265	1.75002996986719e-06	1.75002996986719e-06	0
prot_Q12452	6.63825865749424e-07	3.06469192736967e-06	9.53725076136758e-05
prot_Q3E731	2.45244014935604e-06	9.89140922373823e-05	0.00107124716033141
