rxnIDs_ref	refVals	condVals	log2FC	usagesRef	usagesCond	subSystems	grRules
A2P2R3	0	0	0	NaN	NaN	sce00250  Alanine, aspartate and glutamate metabolism // sce00520  Amino sugar and nucleotide sugar metabolism // sce01130  Biosynthesis of antibiotics	YMR084W
O13525	0	0	0	NaN	NaN	sce00130  Ubiquinone and other terpenoid-quinone biosynthesis // sce01110  Biosynthesis of secondary metabolites // sce00130  Ubiquinone and other terpenoid-quinone biosynthesis // sce01110  Biosynthesis of secondary metabolites // sce00130  Ubiquinone and other terpenoid-quinone biosynthesis // sce01110  Biosynthesis of secondary metabolites // sce00130  Ubiquinone and other terpenoid-quinone biosynthesis // sce01110  Biosynthesis of secondary metabolites // sce00130  Ubiquinone and other terpenoid-quinone biosynthesis // sce01110  Biosynthesis of secondary metabolites	YDR204W
P00044	0	0	0	0	0	sce00620  Pyruvate metabolism // sce00920  Sulfur metabolism // sce00620  Pyruvate metabolism // sce00920  Sulfur metabolism // sce00620  Pyruvate metabolism // sce00920  Sulfur metabolism // sce00620  Pyruvate metabolism // sce00920  Sulfur metabolism // sce00920  Sulfur metabolism	YJR048W
P00045	0	0	0	NaN	NaN	sce00620  Pyruvate metabolism // sce00920  Sulfur metabolism // sce00620  Pyruvate metabolism // sce00920  Sulfur metabolism // sce00620  Pyruvate metabolism // sce00920  Sulfur metabolism // sce00620  Pyruvate metabolism // sce00920  Sulfur metabolism // sce00920  Sulfur metabolism	YEL039C
P00127	1.21423278807812e-05	1.06377695110432e-05	-0.190849352619193	0.92312727128306	0.856475841109911	sce00190  Oxidative phosphorylation // sce00920  Sulfur metabolism	YFR033C
P00128	1.21423278807812e-05	1.06377695110432e-05	-0.190849352619193	0.92312727128306	0.856475841109911	sce00190  Oxidative phosphorylation // sce00920  Sulfur metabolism	YDR529C
P00163	1.21423278807812e-05	1.06377695110432e-05	-0.190849352619193	0.92312727128306	0.856475841109911	sce00190  Oxidative phosphorylation // sce00920  Sulfur metabolism	Q0105
P00175	0	0	0	0	0	sce00620  Pyruvate metabolism // sce00920  Sulfur metabolism // sce00620  Pyruvate metabolism // sce00920  Sulfur metabolism	YML054C
P00330	0	0	0	NaN	NaN	Gluconeogenesis // sce00010  Glycolysis // sce00071  Fatty acid degradation // sce00350  Tyrosine metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // Gluconeogenesis // sce00010  Glycolysis // sce00071  Fatty acid degradation // sce00350  Tyrosine metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // Gluconeogenesis // sce00010  Glycolysis // sce00071  Fatty acid degradation // sce00350  Tyrosine metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // Gluconeogenesis // sce00010  Glycolysis // sce00071  Fatty acid degradation // sce00350  Tyrosine metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // Gluconeogenesis // sce00010  Glycolysis // sce00071  Fatty acid degradation // sce00350  Tyrosine metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // Gluconeogenesis // sce00010  Glycolysis // sce00071  Fatty acid degradation // sce00350  Tyrosine metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics	YOL086C
P00331	0	0	0	NaN	NaN	Gluconeogenesis // sce00010  Glycolysis // sce00071  Fatty acid degradation // sce00350  Tyrosine metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics	YMR303C
