enzymes	usage_Std	usage_HiT	usage_LpH	usage_Osm	genes	shortNames	subSystems
A2P2R3	NaN	NaN	NaN	NaN	YMR084W	YMR084W	sce00250  Alanine, aspartate and glutamate metabolism // sce00520  Amino sugar and nucleotide sugar metabolism // sce01130  Biosynthesis of antibiotics
O13525	NaN	NaN	NaN	NaN	YDR204W	COQ4	sce00130  Ubiquinone and other terpenoid-quinone biosynthesis // sce01110  Biosynthesis of secondary metabolites // sce00130  Ubiquinone and other terpenoid-quinone biosynthesis // sce01110  Biosynthesis of secondary metabolites // sce00130  Ubiquinone and other terpenoid-quinone biosynthesis // sce01110  Biosynthesis of secondary metabolites // sce00130  Ubiquinone and other terpenoid-quinone biosynthesis // sce01110  Biosynthesis of secondary metabolites // sce00130  Ubiquinone and other terpenoid-quinone biosynthesis // sce01110  Biosynthesis of secondary metabolites
P00044	0	0	0	0	YJR048W	CYC1	sce00620  Pyruvate metabolism // sce00920  Sulfur metabolism // sce00620  Pyruvate metabolism // sce00920  Sulfur metabolism // sce00620  Pyruvate metabolism // sce00920  Sulfur metabolism // sce00620  Pyruvate metabolism // sce00920  Sulfur metabolism // sce00920  Sulfur metabolism
P00045	NaN	NaN	NaN	NaN	YEL039C	CYC7	sce00620  Pyruvate metabolism // sce00920  Sulfur metabolism // sce00620  Pyruvate metabolism // sce00920  Sulfur metabolism // sce00620  Pyruvate metabolism // sce00920  Sulfur metabolism // sce00620  Pyruvate metabolism // sce00920  Sulfur metabolism // sce00920  Sulfur metabolism
P00127	0.932172102340807	0.868597076361824	1	0.939651763039851	YFR033C	QCR6	sce00190  Oxidative phosphorylation // sce00920  Sulfur metabolism
P00128	0.932172102340807	0.868597076361824	1	0.939651763039851	YDR529C	QCR7	sce00190  Oxidative phosphorylation // sce00920  Sulfur metabolism
P00163	0.932172102340807	0.868597076361824	1	0.939651763039851	Q0105	COB	sce00190  Oxidative phosphorylation // sce00920  Sulfur metabolism
P00175	0	0	0	0	YML054C	CYB2	sce00620  Pyruvate metabolism // sce00920  Sulfur metabolism // sce00620  Pyruvate metabolism // sce00920  Sulfur metabolism
P00330	NaN	NaN	NaN	NaN	YOL086C	ADH1	Gluconeogenesis // sce00010  Glycolysis // sce00071  Fatty acid degradation // sce00350  Tyrosine metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // Gluconeogenesis // sce00010  Glycolysis // sce00071  Fatty acid degradation // sce00350  Tyrosine metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // Gluconeogenesis // sce00010  Glycolysis // sce00071  Fatty acid degradation // sce00350  Tyrosine metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // Gluconeogenesis // sce00010  Glycolysis // sce00071  Fatty acid degradation // sce00350  Tyrosine metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // Gluconeogenesis // sce00010  Glycolysis // sce00071  Fatty acid degradation // sce00350  Tyrosine metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // Gluconeogenesis // sce00010  Glycolysis // sce00071  Fatty acid degradation // sce00350  Tyrosine metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics
P00331	NaN	NaN	NaN	NaN	YMR303C	ADH2	Gluconeogenesis // sce00010  Glycolysis // sce00071  Fatty acid degradation // sce00350  Tyrosine metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics
P00358	0	0	0	0	YJR009C	TDH2	Gluconeogenesis // sce00010  Glycolysis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids // Gluconeogenesis // sce00010  Glycolysis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids
P00359	0	0	0	0	YGR192C	TDH3	Gluconeogenesis // sce00010  Glycolysis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids // Gluconeogenesis // sce00010  Glycolysis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids
P00360	0.383505268082207	0.713503163166764	0.388983815315391	0.556504198239795	YJL052W	TDH1	Gluconeogenesis // sce00010  Glycolysis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids // Gluconeogenesis // sce00010  Glycolysis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids
P00401	0.839428969024737	0.868597076361824	1	0.851285310866589	Q0045	COX1	sce00190  Oxidative phosphorylation // sce00920  Sulfur metabolism // sce00190  Oxidative phosphorylation // sce00920  Sulfur metabolism
P00410	0.839428969024737	0.868597076361824	1	0.851285310866589	Q0250	COX2	sce00190  Oxidative phosphorylation // sce00920  Sulfur metabolism // sce00190  Oxidative phosphorylation // sce00920  Sulfur metabolism
P00420	0.839428969024737	0.868597076361824	1	0.851285310866589	Q0275	COX3	sce00190  Oxidative phosphorylation // sce00920  Sulfur metabolism // sce00190  Oxidative phosphorylation // sce00920  Sulfur metabolism
P00425	1	0.868597076361824	1	0.746985336541661	YIL111W	COX5B	sce00190  Oxidative phosphorylation // sce00920  Sulfur metabolism
P00427	1	0.868597076361824	1	0.746985336541661	YHR051W	COX6	sce00190  Oxidative phosphorylation // sce00920  Sulfur metabolism
P00431	0	0	0	0	YKR066C	CCP1	sce00920  Sulfur metabolism // sce00920  Sulfur metabolism
P00445	0	0	0	0	YJR104C	SOD1	 // 
P00447	0	0	0	0	YHR008C	SOD2	 // 
P00498	0.211456748379209	0.358468758575831	0.266728840899642	0.297701590156314	YER055C	HIS1	sce00340  Histidine metabolism // sce01110  Biosynthesis of secondary metabolites // sce01230  Biosynthesis of amino acids
P00549	0.0286267160358445	0.0639133450756087	0	0	YAL038W	CDC19	Gluconeogenesis // sce00010  Glycolysis // sce00230  Purine metabolism // sce00620  Pyruvate metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids
P00560	0.0134254125411688	0.0218203218238276	0.0183509318160499	0.0152313136298588	YCR012W	PGK1	Gluconeogenesis // sce00010  Glycolysis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids // Gluconeogenesis // sce00010  Glycolysis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids
P00572	NaN	NaN	NaN	NaN	YJR057W	CDC8	sce00240  Pyrimidine metabolism
P00635	NaN	NaN	NaN	NaN	YBR093C	PHO5	sce00730  Thiamine metabolism // sce00740  Riboflavin metabolism // sce04111  Cell cycle - yeast
P00724	0	0	0	0	YIL162W	SUC2	sce00052  Galactose metabolism // sce00500  Starch and sucrose metabolism
P00812	NaN	0	0	0	YPL111W	CAR1	sce00220  Arginine biosynthesis // sce00330  Arginine and proline metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01230  Biosynthesis of amino acids
P00815	0.0130693533327976	0.0145176056038421	0.0136631190904625	0.0145611865206467	YCL030C	HIS4	sce00340  Histidine metabolism // sce01110  Biosynthesis of secondary metabolites // sce01230  Biosynthesis of amino acids // sce00340  Histidine metabolism // sce01110  Biosynthesis of secondary metabolites // sce01230  Biosynthesis of amino acids // sce00340  Histidine metabolism // sce01110  Biosynthesis of secondary metabolites // sce01230  Biosynthesis of amino acids
P00817	0.0480122045452119	0.0646761759561972	0.00558944430178386	0.0511431200379008	YBR011C	IPP1	sce00190  Oxidative phosphorylation
P00830	0.0740713982466829	0.0842363456298797	0.0810539040176051	0.0428923368540675	YJR121W	ATP2	sce00190  Oxidative phosphorylation // sce00190  Oxidative phosphorylation
P00854	0.722191219084656	0.821298781738652	0.790270187138883	0.418197438893573	Q0085	ATP6	sce00190  Oxidative phosphorylation // sce00190  Oxidative phosphorylation
P00856	0.722191219084656	0.821298781738652	0.790270187138883	0.418197438893573	Q0080	ATP8	sce00190  Oxidative phosphorylation // sce00190  Oxidative phosphorylation
P00890	0.153295577562042	0.0378341897209993	0	0.0847427061642287	YNR001C	CIT1	sce00020  Citrate cycle (TCA cycle) // sce00630  Glyoxylate and dicarboxylate metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01210  2-Oxocarboxylic acid metabolism // sce01230  Biosynthesis of amino acids
P00899	0.453690212819283	0.782350308183628	0.804013689014437	0.513897754239452	YER090W	TRP2	sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01230  Biosynthesis of amino acids
P00912	NaN	NaN	NaN	NaN	YDR007W	TRP1	sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01230  Biosynthesis of amino acids
P00924	0.0583153851061869	0.070629030462483	0.0432947845985272	0.0896097337423386	YGR254W	ENO1	Gluconeogenesis // sce00010  Glycolysis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids // sce03018  RNA degradation // Gluconeogenesis // sce00010  Glycolysis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids // sce03018  RNA degradation
P00925	NaN	NaN	NaN	NaN	YHR174W	ENO2	Gluconeogenesis // sce00010  Glycolysis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids // sce03018  RNA degradation // Gluconeogenesis // sce00010  Glycolysis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids // sce03018  RNA degradation
P00927	0.00882213683303958	0.00771176237642865	0.00953382324104794	0.0139863754257265	YER086W	ILV1	sce00260  Glycine, serine and threonine metabolism // sce00290  Valine, leucine and isoleucine biosynthesis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids
P00931	0.999999999999969	0.999999999999968	0.999999999999832	1.00000000000006	YGL026C	TRP5	sce00260  Glycine, serine and threonine metabolism // sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01230  Biosynthesis of amino acids
P00937	0.705251115329721	0.596761250806607	0.821765437297726	0.745506988781662	YKL211C	TRP3	sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01230  Biosynthesis of amino acids // sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01230  Biosynthesis of amino acids
P00942	0.000763976373573177	0.00126223384490307	0.000796510925875981	0.00112604052446006	YDR050C	TPI1	Gluconeogenesis // sce00010  Glycolysis // sce00051  Fructose and mannose metabolism // sce00562  Inositol phosphate metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids // Gluconeogenesis // sce00010  Glycolysis // sce00051  Fructose and mannose metabolism // sce00562  Inositol phosphate metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids
P00950	0.0673789835248665	0.059480341667143	0.0542706631129009	0.0768443476498424	YKL152C	GPM1	Gluconeogenesis // sce00010  Glycolysis // sce00260  Glycine, serine and threonine metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids // Gluconeogenesis // sce00010  Glycolysis // sce00260  Glycine, serine and threonine metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids // Gluconeogenesis // sce00010  Glycolysis // sce00260  Glycine, serine and threonine metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids // Gluconeogenesis // sce00010  Glycolysis // sce00260  Glycine, serine and threonine metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids
P00958	1	1	1	1	YGR264C	MES1	sce00450  Selenocompound metabolism // sce00970  Aminoacyl-tRNA biosynthesis
P03962	0.00548661880331055	0.00466007732793185	0.00348759042891981	0.00187809110382517	YEL021W	URA3	sce00240  Pyrimidine metabolism
P03965	0.00097432625499874	0.0015505320293764	0.0011536226632592	0.00162616524263472	YJR109C	CPA2	sce00240  Pyrimidine metabolism // sce00250  Alanine, aspartate and glutamate metabolism
P04037	1	0.868597076361824	1	0.746985336541661	YGL187C	COX4	sce00190  Oxidative phosphorylation // sce00920  Sulfur metabolism
P04039	1	0.868597076361824	1	0.746985336541661	YLR395C	COX8	sce00190  Oxidative phosphorylation // sce00920  Sulfur metabolism
P04046	0.0250347311912534	0.0401941940348331	0.0181991563703198	0.0155051847749319	YMR300C	ADE4	sce00230  Purine metabolism // sce00250  Alanine, aspartate and glutamate metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics
P04076	0.000368882496930884	0.000491155695413408	0.000427662031318582	0.00329051031964555	YHR018C	ARG4	sce00220  Arginine biosynthesis // sce00250  Alanine, aspartate and glutamate metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01230  Biosynthesis of amino acids // sce00220  Arginine biosynthesis // sce00250  Alanine, aspartate and glutamate metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01230  Biosynthesis of amino acids
P04161	0.422588390926918	0.819028314536968	0.54689231729518	NaN	YDR408C	ADE8	sce00230  Purine metabolism // sce00670  One carbon pool by folate // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics
P04173	NaN	NaN	NaN	NaN	YCL018W	LEU2	sce00290  Valine, leucine and isoleucine biosynthesis // sce00660  C5-Branched dibasic acid metabolism // sce01110  Biosynthesis of secondary metabolites // sce01210  2-Oxocarboxylic acid metabolism // sce01230  Biosynthesis of amino acids
P04385	NaN	NaN	NaN	NaN	YBR020W	GAL1	sce00052  Galactose metabolism // sce00520  Amino sugar and nucleotide sugar metabolism
P04397	NaN	NaN	NaN	NaN	YBR019C	GAL10	Gluconeogenesis // sce00010  Glycolysis // sce00052  Galactose metabolism // sce00520  Amino sugar and nucleotide sugar metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // Gluconeogenesis // sce00010  Glycolysis // sce00052  Galactose metabolism // sce00520  Amino sugar and nucleotide sugar metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics
P04801	0.872907819869969	0.724903561630219	0.828550012889604	0.666099814005898	YIL078W	THS1	sce00970  Aminoacyl-tRNA biosynthesis
P04802	0.199696976506051	0.173182650885314	0.176646506228505	0.181128122001073	YLL018C	DPS1	sce00970  Aminoacyl-tRNA biosynthesis
P04803	NaN	NaN	NaN	NaN	YDR268W	MSW1	sce00970  Aminoacyl-tRNA biosynthesis
