rxnIDs_ref	modelIDs	refVals	condVals	log2FC	subSystems	grRules
1,6-beta-glucan synthase	r_0006	0.026727264410766	0.0277801256161616	0.0557409405119228		YGR143W or YPR159W
4-hydroxybenzoate formation	r_0070	0	0	0		
8-amino-7-oxononanoate synthase	r_0094	0	0	0		YAR069W-A or YHR214W-F
acetyl-CoA ACP transacylase	r_0099	0	0	0	sce00190  Oxidative phosphorylation	YKL192C
Aminoacetone:oxygen oxidoreductase(deaminating)(flavin-containing)	r_0200	0	0	0		
geranylgeranyltranstransferase	r_0461	0	0	0		
glucosamine-6-phosphate deaminase	r_0465	0	0	0		
glutathione peroxidase, mitochondria	r_0484	0	0	0		YPL059W
glycine C-acetyltransferase	r_0500	0	0	0		
L-tyrosine N-formyltransferase	r_0695	0	0	0		YDR403W
ribonucleoside-triphosphate reductase (ATP)	r_0970	0.000342876600000014	0.000342876600000008	-2.54672407053288e-14		YGR209C
ribonucleoside-triphosphate reductase (CTP)	r_0971	0	0	0		YGR209C
ribonucleoside-triphosphate reductase (GTP)	r_0972	0	0	0		YGR209C
ribonucleoside-triphosphate reductase (UTP)	r_0973	0	0.000179702583091596	27.421035905769		YGR209C
spontaneous cis-aconitate(3-) to trans-aconitate	r_1008	0	0	0		
spontaneous cis-aconitate(3-) to trans-aconitate	r_1009	0	0	0		
spontaneous kynurenic acid to quinaldic acid	r_2113	0	0	0		
spontaneous 2-amino-3-carboxymuconate-6-semialdehyde to quinolinate	r_2114	0.000600929999999389	0.000600929999999944	1.33262542558639e-12		
fatty-acid--CoA ligase (behenate), ER membrane	r_2213	0	0	0		YBR041W
fatty-acid--CoA ligase (lignoceric acid), ER membrane	r_2214	0	0	0		YBR041W
fatty-acid--CoA ligase (cerotic acid), ER membrane	r_2215	0	0	0		YBR041W
fatty-acid--CoA ligase (behenate), lipid particle	r_2216	0	0	0		YBR041W
fatty-acid--CoA ligase (lignoceric acid), lipid particle	r_2217	0	0	0		YBR041W
fatty-acid--CoA ligase (cerotic acid), lipid particle	r_2218	0	0	0		YBR041W
taurcholate via ABC system	r_1028	0	0	0		YLL048C
(R)-mevalonate transport	r_1096	0	0	0		
(R,R)-butanediol transport	r_1097	0	0.220956972023168	37.6849744980266		
2-methylbutyl transport	r_1098	0	0	0		
2-oxoadipate and 2-oxoglutarate transport	r_1099	0.0299143475824189	0.0285063638622435	-0.0695535712340845		YOR222W or YPL134C
3-hexaprenyl-4,5-dihydroxybenzoate transport	r_1100	0	0	0		
4-aminobutyrate transport	r_1101	0	0	0		YDL210W or YOR348C
5-aminolevulinate transport	r_1102	0	0	0		YDL210W
5-formyltetrahydrofolic acid transport	r_1103	0	0	0		
